class,mutant,test_index,result
CALCULATE_VOLUME_DODECAHEDRON,ORIGINAL,0,EXCEPTION
CALCULATE_VOLUME_DODECAHEDRON,ORIGINAL,1,EXCEPTION
CALCULATE_VOLUME_DODECAHEDRON,ORIGINAL,2,EXCEPTION
CALCULATE_VOLUME_DODECAHEDRON,ORIGINAL,3,EXCEPTION
CALCULATE_VOLUME_DODECAHEDRON,ORIGINAL,4,EXCEPTION
CALCULATE_VOLUME_DODECAHEDRON,ORIGINAL,5,EXCEPTION
CALCULATE_VOLUME_DODECAHEDRON,ORIGINAL,6,EXCEPTION
CALCULATE_VOLUME_DODECAHEDRON,ORIGINAL,7,EXCEPTION
CALCULATE_VOLUME_DODECAHEDRON,ORIGINAL,8,EXCEPTION
CALCULATE_VOLUME_DODECAHEDRON,ORIGINAL,9,EXCEPTION
