class,mutant,test_index,result
CHANGE_BITS_CAN_MADE_ONE_FLIP_1,ORIGINAL,0,true
CHANGE_BITS_CAN_MADE_ONE_FLIP_1,ORIGINAL,1,false
CHANGE_BITS_CAN_MADE_ONE_FLIP_1,ORIGINAL,2,false
CHANGE_BITS_CAN_MADE_ONE_FLIP_1,ORIGINAL,3,true
CHANGE_BITS_CAN_MADE_ONE_FLIP_1,ORIGINAL,4,true
CHANGE_BITS_CAN_MADE_ONE_FLIP_1,ORIGINAL,5,false
CHANGE_BITS_CAN_MADE_ONE_FLIP_1,ORIGINAL,6,false
CHANGE_BITS_CAN_MADE_ONE_FLIP_1,ORIGINAL,7,false
CHANGE_BITS_CAN_MADE_ONE_FLIP_1,ORIGINAL,8,false
CHANGE_BITS_CAN_MADE_ONE_FLIP_1,ORIGINAL,9,false
