class,mutant,test_index,result
CHECK_GIVEN_STRING_ROTATION_PALINDROME,ORIGINAL,0,true
CHECK_GIVEN_STRING_ROTATION_PALINDROME,ORIGINAL,1,false
CHECK_GIVEN_STRING_ROTATION_PALINDROME,ORIGINAL,2,true
CHECK_GIVEN_STRING_ROTATION_PALINDROME,ORIGINAL,3,false
CHECK_GIVEN_STRING_ROTATION_PALINDROME,ORIGINAL,4,false
CHECK_GIVEN_STRING_ROTATION_PALINDROME,ORIGINAL,5,false
CHECK_GIVEN_STRING_ROTATION_PALINDROME,ORIGINAL,6,true
CHECK_GIVEN_STRING_ROTATION_PALINDROME,ORIGINAL,7,false
CHECK_GIVEN_STRING_ROTATION_PALINDROME,ORIGINAL,8,false
CHECK_GIVEN_STRING_ROTATION_PALINDROME,ORIGINAL,9,false
