class,mutant,test_index,result
CHECK_IF_A_NUMBER_IS_JUMBLED_OR_NOT,ORIGINAL,0,true
CHECK_IF_A_NUMBER_IS_JUMBLED_OR_NOT,ORIGINAL,1,true
CHECK_IF_A_NUMBER_IS_JUMBLED_OR_NOT,ORIGINAL,2,false
CHECK_IF_A_NUMBER_IS_JUMBLED_OR_NOT,ORIGINAL,3,false
CHECK_IF_A_NUMBER_IS_JUMBLED_OR_NOT,ORIGINAL,4,true
CHECK_IF_A_NUMBER_IS_JUMBLED_OR_NOT,ORIGINAL,5,true
CHECK_IF_A_NUMBER_IS_JUMBLED_OR_NOT,ORIGINAL,6,false
CHECK_IF_A_NUMBER_IS_JUMBLED_OR_NOT,ORIGINAL,7,false
CHECK_IF_A_NUMBER_IS_JUMBLED_OR_NOT,ORIGINAL,8,true
CHECK_IF_A_NUMBER_IS_JUMBLED_OR_NOT,ORIGINAL,9,false
