class,mutant,test_index,result
CHECK_LARGE_NUMBER_DIVISIBLE_11_NOT,ORIGINAL,0,true
CHECK_LARGE_NUMBER_DIVISIBLE_11_NOT,ORIGINAL,1,false
CHECK_LARGE_NUMBER_DIVISIBLE_11_NOT,ORIGINAL,2,false
CHECK_LARGE_NUMBER_DIVISIBLE_11_NOT,ORIGINAL,3,false
CHECK_LARGE_NUMBER_DIVISIBLE_11_NOT,ORIGINAL,4,false
CHECK_LARGE_NUMBER_DIVISIBLE_11_NOT,ORIGINAL,5,true
CHECK_LARGE_NUMBER_DIVISIBLE_11_NOT,ORIGINAL,6,false
CHECK_LARGE_NUMBER_DIVISIBLE_11_NOT,ORIGINAL,7,false
CHECK_LARGE_NUMBER_DIVISIBLE_11_NOT,ORIGINAL,8,true
CHECK_LARGE_NUMBER_DIVISIBLE_11_NOT,ORIGINAL,9,false
