class,mutant,test_index,result
CHECK_OCCURRENCES_CHARACTER_APPEAR_TOGETHER,ORIGINAL,0,true
CHECK_OCCURRENCES_CHARACTER_APPEAR_TOGETHER,ORIGINAL,1,true
CHECK_OCCURRENCES_CHARACTER_APPEAR_TOGETHER,ORIGINAL,2,true
CHECK_OCCURRENCES_CHARACTER_APPEAR_TOGETHER,ORIGINAL,3,true
CHECK_OCCURRENCES_CHARACTER_APPEAR_TOGETHER,ORIGINAL,4,true
CHECK_OCCURRENCES_CHARACTER_APPEAR_TOGETHER,ORIGINAL,5,false
CHECK_OCCURRENCES_CHARACTER_APPEAR_TOGETHER,ORIGINAL,6,false
CHECK_OCCURRENCES_CHARACTER_APPEAR_TOGETHER,ORIGINAL,7,false
CHECK_OCCURRENCES_CHARACTER_APPEAR_TOGETHER,ORIGINAL,8,true
CHECK_OCCURRENCES_CHARACTER_APPEAR_TOGETHER,ORIGINAL,9,true
