class,mutant,test_index,result
CHECK_WHETHER_GIVEN_NUMBER_EVEN_ODD_1,ORIGINAL,0,<class '__main__.f_gold.<locals>.CHECK_WHETHER_GIVEN_NUMBER_EVEN_ODD_1'>
CHECK_WHETHER_GIVEN_NUMBER_EVEN_ODD_1,ORIGINAL,1,<class '__main__.f_gold.<locals>.CHECK_WHETHER_GIVEN_NUMBER_EVEN_ODD_1'>
CHECK_WHETHER_GIVEN_NUMBER_EVEN_ODD_1,ORIGINAL,2,<class '__main__.f_gold.<locals>.CHECK_WHETHER_GIVEN_NUMBER_EVEN_ODD_1'>
CHECK_WHETHER_GIVEN_NUMBER_EVEN_ODD_1,ORIGINAL,3,<class '__main__.f_gold.<locals>.CHECK_WHETHER_GIVEN_NUMBER_EVEN_ODD_1'>
CHECK_WHETHER_GIVEN_NUMBER_EVEN_ODD_1,ORIGINAL,4,<class '__main__.f_gold.<locals>.CHECK_WHETHER_GIVEN_NUMBER_EVEN_ODD_1'>
CHECK_WHETHER_GIVEN_NUMBER_EVEN_ODD_1,ORIGINAL,5,<class '__main__.f_gold.<locals>.CHECK_WHETHER_GIVEN_NUMBER_EVEN_ODD_1'>
CHECK_WHETHER_GIVEN_NUMBER_EVEN_ODD_1,ORIGINAL,6,<class '__main__.f_gold.<locals>.CHECK_WHETHER_GIVEN_NUMBER_EVEN_ODD_1'>
CHECK_WHETHER_GIVEN_NUMBER_EVEN_ODD_1,ORIGINAL,7,<class '__main__.f_gold.<locals>.CHECK_WHETHER_GIVEN_NUMBER_EVEN_ODD_1'>
CHECK_WHETHER_GIVEN_NUMBER_EVEN_ODD_1,ORIGINAL,8,<class '__main__.f_gold.<locals>.CHECK_WHETHER_GIVEN_NUMBER_EVEN_ODD_1'>
CHECK_WHETHER_GIVEN_NUMBER_EVEN_ODD_1,ORIGINAL,9,<class '__main__.f_gold.<locals>.CHECK_WHETHER_GIVEN_NUMBER_EVEN_ODD_1'>
