class,mutant,test_index,result
CHECK_WHETHER_GIVEN_NUMBER_EVEN_ODD,ORIGINAL,0,C:\Users\Giovani\AppData\Local\Programs\Python\Python310\python.exe
CHECK_WHETHER_GIVEN_NUMBER_EVEN_ODD,ORIGINAL,1,C:\Users\Giovani\AppData\Local\Programs\Python\Python310\python.exe
CHECK_WHETHER_GIVEN_NUMBER_EVEN_ODD,ORIGINAL,2,C:\Users\Giovani\AppData\Local\Programs\Python\Python310\python.exe
CHECK_WHETHER_GIVEN_NUMBER_EVEN_ODD,ORIGINAL,3,C:\Users\Giovani\AppData\Local\Programs\Python\Python310\python.exe
CHECK_WHETHER_GIVEN_NUMBER_EVEN_ODD,ORIGINAL,4,C:\Users\Giovani\AppData\Local\Programs\Python\Python310\python.exe
CHECK_WHETHER_GIVEN_NUMBER_EVEN_ODD,ORIGINAL,5,C:\Users\Giovani\AppData\Local\Programs\Python\Python310\python.exe
CHECK_WHETHER_GIVEN_NUMBER_EVEN_ODD,ORIGINAL,6,C:\Users\Giovani\AppData\Local\Programs\Python\Python310\python.exe
CHECK_WHETHER_GIVEN_NUMBER_EVEN_ODD,ORIGINAL,7,C:\Users\Giovani\AppData\Local\Programs\Python\Python310\python.exe
CHECK_WHETHER_GIVEN_NUMBER_EVEN_ODD,ORIGINAL,8,C:\Users\Giovani\AppData\Local\Programs\Python\Python310\python.exe
CHECK_WHETHER_GIVEN_NUMBER_EVEN_ODD,ORIGINAL,9,C:\Users\Giovani\AppData\Local\Programs\Python\Python310\python.exe
