class,mutant,test_index,result
CHECK_WHETHER_LARGE_NUMBER_DIVISIBLE_7,ORIGINAL,0,true
CHECK_WHETHER_LARGE_NUMBER_DIVISIBLE_7,ORIGINAL,1,false
CHECK_WHETHER_LARGE_NUMBER_DIVISIBLE_7,ORIGINAL,2,false
CHECK_WHETHER_LARGE_NUMBER_DIVISIBLE_7,ORIGINAL,3,true
CHECK_WHETHER_LARGE_NUMBER_DIVISIBLE_7,ORIGINAL,4,true
CHECK_WHETHER_LARGE_NUMBER_DIVISIBLE_7,ORIGINAL,5,true
CHECK_WHETHER_LARGE_NUMBER_DIVISIBLE_7,ORIGINAL,6,true
CHECK_WHETHER_LARGE_NUMBER_DIVISIBLE_7,ORIGINAL,7,false
CHECK_WHETHER_LARGE_NUMBER_DIVISIBLE_7,ORIGINAL,8,false
CHECK_WHETHER_LARGE_NUMBER_DIVISIBLE_7,ORIGINAL,9,false
