class,mutant,test_index,result
COMPUTE_AVERAGE_TWO_NUMBERS_WITHOUT_OVERFLOW,ORIGINAL,0,EXCEPTION
COMPUTE_AVERAGE_TWO_NUMBERS_WITHOUT_OVERFLOW,ORIGINAL,1,EXCEPTION
COMPUTE_AVERAGE_TWO_NUMBERS_WITHOUT_OVERFLOW,ORIGINAL,2,EXCEPTION
COMPUTE_AVERAGE_TWO_NUMBERS_WITHOUT_OVERFLOW,ORIGINAL,3,EXCEPTION
COMPUTE_AVERAGE_TWO_NUMBERS_WITHOUT_OVERFLOW,ORIGINAL,4,EXCEPTION
COMPUTE_AVERAGE_TWO_NUMBERS_WITHOUT_OVERFLOW,ORIGINAL,5,EXCEPTION
COMPUTE_AVERAGE_TWO_NUMBERS_WITHOUT_OVERFLOW,ORIGINAL,6,EXCEPTION
COMPUTE_AVERAGE_TWO_NUMBERS_WITHOUT_OVERFLOW,ORIGINAL,7,EXCEPTION
COMPUTE_AVERAGE_TWO_NUMBERS_WITHOUT_OVERFLOW,ORIGINAL,8,EXCEPTION
COMPUTE_AVERAGE_TWO_NUMBERS_WITHOUT_OVERFLOW,ORIGINAL,9,EXCEPTION
