class,mutant,test_index,result
CONVERTING_ONE_STRING_USING_APPEND_DELETE_LAST_OPERATIONS,ORIGINAL,0,False
CONVERTING_ONE_STRING_USING_APPEND_DELETE_LAST_OPERATIONS,ORIGINAL,1,False
CONVERTING_ONE_STRING_USING_APPEND_DELETE_LAST_OPERATIONS,ORIGINAL,2,True
CONVERTING_ONE_STRING_USING_APPEND_DELETE_LAST_OPERATIONS,ORIGINAL,3,True
CONVERTING_ONE_STRING_USING_APPEND_DELETE_LAST_OPERATIONS,ORIGINAL,4,True
CONVERTING_ONE_STRING_USING_APPEND_DELETE_LAST_OPERATIONS,ORIGINAL,5,True
CONVERTING_ONE_STRING_USING_APPEND_DELETE_LAST_OPERATIONS,ORIGINAL,6,False
CONVERTING_ONE_STRING_USING_APPEND_DELETE_LAST_OPERATIONS,ORIGINAL,7,False
CONVERTING_ONE_STRING_USING_APPEND_DELETE_LAST_OPERATIONS,ORIGINAL,8,True
CONVERTING_ONE_STRING_USING_APPEND_DELETE_LAST_OPERATIONS,ORIGINAL,9,True
