class,mutant,test_index,result
CONVERT_STRICTLY_INCREASING_ARRAY_MINIMUM_CHANGES,ORIGINAL,0,2
CONVERT_STRICTLY_INCREASING_ARRAY_MINIMUM_CHANGES,ORIGINAL,1,15
CONVERT_STRICTLY_INCREASING_ARRAY_MINIMUM_CHANGES,ORIGINAL,2,5
CONVERT_STRICTLY_INCREASING_ARRAY_MINIMUM_CHANGES,ORIGINAL,3,10
CONVERT_STRICTLY_INCREASING_ARRAY_MINIMUM_CHANGES,ORIGINAL,4,4
CONVERT_STRICTLY_INCREASING_ARRAY_MINIMUM_CHANGES,ORIGINAL,5,2
CONVERT_STRICTLY_INCREASING_ARRAY_MINIMUM_CHANGES,ORIGINAL,6,0
CONVERT_STRICTLY_INCREASING_ARRAY_MINIMUM_CHANGES,ORIGINAL,7,2
CONVERT_STRICTLY_INCREASING_ARRAY_MINIMUM_CHANGES,ORIGINAL,8,1
CONVERT_STRICTLY_INCREASING_ARRAY_MINIMUM_CHANGES,ORIGINAL,9,9
