class,mutant,test_index,result
COUNTING_PAIRS_PERSON_CAN_FORM_PAIR_ONE_1,ORIGINAL,0,409348288
COUNTING_PAIRS_PERSON_CAN_FORM_PAIR_ONE_1,ORIGINAL,1,-478150656
COUNTING_PAIRS_PERSON_CAN_FORM_PAIR_ONE_1,ORIGINAL,2,10349536
COUNTING_PAIRS_PERSON_CAN_FORM_PAIR_ONE_1,ORIGINAL,3,-921698304
COUNTING_PAIRS_PERSON_CAN_FORM_PAIR_ONE_1,ORIGINAL,4,4
COUNTING_PAIRS_PERSON_CAN_FORM_PAIR_ONE_1,ORIGINAL,5,-1728410368
COUNTING_PAIRS_PERSON_CAN_FORM_PAIR_ONE_1,ORIGINAL,6,-1279262720
COUNTING_PAIRS_PERSON_CAN_FORM_PAIR_ONE_1,ORIGINAL,7,10
COUNTING_PAIRS_PERSON_CAN_FORM_PAIR_ONE_1,ORIGINAL,8,-1852084224
COUNTING_PAIRS_PERSON_CAN_FORM_PAIR_ONE_1,ORIGINAL,9,-478150656
