class,mutant,test_index,result
COUNT_BINARY_DIGIT_NUMBERS_SMALLER_N,ORIGINAL,0,1
COUNT_BINARY_DIGIT_NUMBERS_SMALLER_N,ORIGINAL,1,1
COUNT_BINARY_DIGIT_NUMBERS_SMALLER_N,ORIGINAL,2,511
COUNT_BINARY_DIGIT_NUMBERS_SMALLER_N,ORIGINAL,3,3
COUNT_BINARY_DIGIT_NUMBERS_SMALLER_N,ORIGINAL,4,3
COUNT_BINARY_DIGIT_NUMBERS_SMALLER_N,ORIGINAL,5,3
COUNT_BINARY_DIGIT_NUMBERS_SMALLER_N,ORIGINAL,6,3
COUNT_BINARY_DIGIT_NUMBERS_SMALLER_N,ORIGINAL,7,3
COUNT_BINARY_DIGIT_NUMBERS_SMALLER_N,ORIGINAL,8,3
COUNT_BINARY_DIGIT_NUMBERS_SMALLER_N,ORIGINAL,9,3
