class,mutant,test_index,result
COUNT_CHARACTERS_STRING_DISTANCE_ENGLISH_ALPHABETS,ORIGINAL,0,2
COUNT_CHARACTERS_STRING_DISTANCE_ENGLISH_ALPHABETS,ORIGINAL,1,3
COUNT_CHARACTERS_STRING_DISTANCE_ENGLISH_ALPHABETS,ORIGINAL,2,0
COUNT_CHARACTERS_STRING_DISTANCE_ENGLISH_ALPHABETS,ORIGINAL,3,0
COUNT_CHARACTERS_STRING_DISTANCE_ENGLISH_ALPHABETS,ORIGINAL,4,7
COUNT_CHARACTERS_STRING_DISTANCE_ENGLISH_ALPHABETS,ORIGINAL,5,1
COUNT_CHARACTERS_STRING_DISTANCE_ENGLISH_ALPHABETS,ORIGINAL,6,3
COUNT_CHARACTERS_STRING_DISTANCE_ENGLISH_ALPHABETS,ORIGINAL,7,1
COUNT_CHARACTERS_STRING_DISTANCE_ENGLISH_ALPHABETS,ORIGINAL,8,1
COUNT_CHARACTERS_STRING_DISTANCE_ENGLISH_ALPHABETS,ORIGINAL,9,2
