class,mutant,test_index,result
COUNT_CHARACTERS_STRING_DISTANCE_ENGLISH_ALPHABETS,ORIGINAL,0,EXCEPTION
COUNT_CHARACTERS_STRING_DISTANCE_ENGLISH_ALPHABETS,ORIGINAL,1,EXCEPTION
COUNT_CHARACTERS_STRING_DISTANCE_ENGLISH_ALPHABETS,ORIGINAL,2,0
COUNT_CHARACTERS_STRING_DISTANCE_ENGLISH_ALPHABETS,ORIGINAL,3,EXCEPTION
COUNT_CHARACTERS_STRING_DISTANCE_ENGLISH_ALPHABETS,ORIGINAL,4,EXCEPTION
COUNT_CHARACTERS_STRING_DISTANCE_ENGLISH_ALPHABETS,ORIGINAL,5,EXCEPTION
COUNT_CHARACTERS_STRING_DISTANCE_ENGLISH_ALPHABETS,ORIGINAL,6,EXCEPTION
COUNT_CHARACTERS_STRING_DISTANCE_ENGLISH_ALPHABETS,ORIGINAL,7,EXCEPTION
COUNT_CHARACTERS_STRING_DISTANCE_ENGLISH_ALPHABETS,ORIGINAL,8,EXCEPTION
COUNT_CHARACTERS_STRING_DISTANCE_ENGLISH_ALPHABETS,ORIGINAL,9,EXCEPTION
