class,mutant,test_index,result
COUNT_NATURAL_NUMBERS_WHOSE_PERMUTATION_GREATER_NUMBER,ORIGINAL,0,EXCEPTION
COUNT_NATURAL_NUMBERS_WHOSE_PERMUTATION_GREATER_NUMBER,ORIGINAL,1,EXCEPTION
COUNT_NATURAL_NUMBERS_WHOSE_PERMUTATION_GREATER_NUMBER,ORIGINAL,2,EXCEPTION
COUNT_NATURAL_NUMBERS_WHOSE_PERMUTATION_GREATER_NUMBER,ORIGINAL,3,EXCEPTION
COUNT_NATURAL_NUMBERS_WHOSE_PERMUTATION_GREATER_NUMBER,ORIGINAL,4,EXCEPTION
COUNT_NATURAL_NUMBERS_WHOSE_PERMUTATION_GREATER_NUMBER,ORIGINAL,5,EXCEPTION
COUNT_NATURAL_NUMBERS_WHOSE_PERMUTATION_GREATER_NUMBER,ORIGINAL,6,EXCEPTION
COUNT_NATURAL_NUMBERS_WHOSE_PERMUTATION_GREATER_NUMBER,ORIGINAL,7,EXCEPTION
COUNT_NATURAL_NUMBERS_WHOSE_PERMUTATION_GREATER_NUMBER,ORIGINAL,8,EXCEPTION
COUNT_NATURAL_NUMBERS_WHOSE_PERMUTATION_GREATER_NUMBER,ORIGINAL,9,EXCEPTION
