class,mutant,test_index,result
COUNT_NUMBERS_CAN_CONSTRUCTED_USING_TWO_NUMBERS,ORIGINAL,0,1
COUNT_NUMBERS_CAN_CONSTRUCTED_USING_TWO_NUMBERS,ORIGINAL,1,9
COUNT_NUMBERS_CAN_CONSTRUCTED_USING_TWO_NUMBERS,ORIGINAL,2,30
COUNT_NUMBERS_CAN_CONSTRUCTED_USING_TWO_NUMBERS,ORIGINAL,3,1
COUNT_NUMBERS_CAN_CONSTRUCTED_USING_TWO_NUMBERS,ORIGINAL,4,0
COUNT_NUMBERS_CAN_CONSTRUCTED_USING_TWO_NUMBERS,ORIGINAL,5,2
COUNT_NUMBERS_CAN_CONSTRUCTED_USING_TWO_NUMBERS,ORIGINAL,6,0
COUNT_NUMBERS_CAN_CONSTRUCTED_USING_TWO_NUMBERS,ORIGINAL,7,4
COUNT_NUMBERS_CAN_CONSTRUCTED_USING_TWO_NUMBERS,ORIGINAL,8,13
COUNT_NUMBERS_CAN_CONSTRUCTED_USING_TWO_NUMBERS,ORIGINAL,9,1
