class,mutant,test_index,result
COUNT_NUMBERS_THAT_DONT_CONTAIN_3,ORIGINAL,0,71.5
COUNT_NUMBERS_THAT_DONT_CONTAIN_3,ORIGINAL,1,73.39999999999999
COUNT_NUMBERS_THAT_DONT_CONTAIN_3,ORIGINAL,2,2
COUNT_NUMBERS_THAT_DONT_CONTAIN_3,ORIGINAL,3,26.5
COUNT_NUMBERS_THAT_DONT_CONTAIN_3,ORIGINAL,4,52.1
COUNT_NUMBERS_THAT_DONT_CONTAIN_3,ORIGINAL,5,32.2
COUNT_NUMBERS_THAT_DONT_CONTAIN_3,ORIGINAL,6,22.7
COUNT_NUMBERS_THAT_DONT_CONTAIN_3,ORIGINAL,7,17.5
COUNT_NUMBERS_THAT_DONT_CONTAIN_3,ORIGINAL,8,62.5
COUNT_NUMBERS_THAT_DONT_CONTAIN_3,ORIGINAL,9,60.6
