class,mutant,test_index,result
COUNT_NUMBER_BINARY_STRINGS_WITHOUT_CONSECUTIVE_1S,ORIGINAL,0,-2092787285
COUNT_NUMBER_BINARY_STRINGS_WITHOUT_CONSECUTIVE_1S,ORIGINAL,1,-1036647147
COUNT_NUMBER_BINARY_STRINGS_WITHOUT_CONSECUTIVE_1S,ORIGINAL,2,987
COUNT_NUMBER_BINARY_STRINGS_WITHOUT_CONSECUTIVE_1S,ORIGINAL,3,13
COUNT_NUMBER_BINARY_STRINGS_WITHOUT_CONSECUTIVE_1S,ORIGINAL,4,433494437
COUNT_NUMBER_BINARY_STRINGS_WITHOUT_CONSECUTIVE_1S,ORIGINAL,5,24157817
COUNT_NUMBER_BINARY_STRINGS_WITHOUT_CONSECUTIVE_1S,ORIGINAL,6,2178309
COUNT_NUMBER_BINARY_STRINGS_WITHOUT_CONSECUTIVE_1S,ORIGINAL,7,-1070442683
COUNT_NUMBER_BINARY_STRINGS_WITHOUT_CONSECUTIVE_1S,ORIGINAL,8,-401779575
COUNT_NUMBER_BINARY_STRINGS_WITHOUT_CONSECUTIVE_1S,ORIGINAL,9,2144908973
