class,mutant,test_index,result
COUNT_SUBARRAYS_EQUAL_NUMBER_1S_0S_1,ORIGINAL,0,0
COUNT_SUBARRAYS_EQUAL_NUMBER_1S_0S_1,ORIGINAL,1,2
COUNT_SUBARRAYS_EQUAL_NUMBER_1S_0S_1,ORIGINAL,2,14
COUNT_SUBARRAYS_EQUAL_NUMBER_1S_0S_1,ORIGINAL,3,0
COUNT_SUBARRAYS_EQUAL_NUMBER_1S_0S_1,ORIGINAL,4,0
COUNT_SUBARRAYS_EQUAL_NUMBER_1S_0S_1,ORIGINAL,5,32
COUNT_SUBARRAYS_EQUAL_NUMBER_1S_0S_1,ORIGINAL,6,0
COUNT_SUBARRAYS_EQUAL_NUMBER_1S_0S_1,ORIGINAL,7,6
COUNT_SUBARRAYS_EQUAL_NUMBER_1S_0S_1,ORIGINAL,8,7
COUNT_SUBARRAYS_EQUAL_NUMBER_1S_0S_1,ORIGINAL,9,0
