class,mutant,test_index,result
C_PROGRAM_FACTORIAL_NUMBER_2,ORIGINAL,0,(66; 1; 0)
C_PROGRAM_FACTORIAL_NUMBER_2,ORIGINAL,1,(93; 1; 0)
C_PROGRAM_FACTORIAL_NUMBER_2,ORIGINAL,2,(39; 1; 0)
C_PROGRAM_FACTORIAL_NUMBER_2,ORIGINAL,3,(93; 1; 0)
C_PROGRAM_FACTORIAL_NUMBER_2,ORIGINAL,4,(68; 1; 0)
C_PROGRAM_FACTORIAL_NUMBER_2,ORIGINAL,5,(20; 1; 0)
C_PROGRAM_FACTORIAL_NUMBER_2,ORIGINAL,6,(37; 1; 0)
C_PROGRAM_FACTORIAL_NUMBER_2,ORIGINAL,7,(52; 1; 0)
C_PROGRAM_FACTORIAL_NUMBER_2,ORIGINAL,8,(52; 1; 0)
C_PROGRAM_FACTORIAL_NUMBER_2,ORIGINAL,9,(19; 1; 0)
