class,mutant,test_index,result
DYNAMIC_PROGRAMMING_SET_8_MATRIX_CHAIN_MULTIPLICATION,ORIGINAL,0,2147483647
DYNAMIC_PROGRAMMING_SET_8_MATRIX_CHAIN_MULTIPLICATION,ORIGINAL,1,2147483647
DYNAMIC_PROGRAMMING_SET_8_MATRIX_CHAIN_MULTIPLICATION,ORIGINAL,2,0
DYNAMIC_PROGRAMMING_SET_8_MATRIX_CHAIN_MULTIPLICATION,ORIGINAL,3,0
DYNAMIC_PROGRAMMING_SET_8_MATRIX_CHAIN_MULTIPLICATION,ORIGINAL,4,2147483647
DYNAMIC_PROGRAMMING_SET_8_MATRIX_CHAIN_MULTIPLICATION,ORIGINAL,5,2147483647
DYNAMIC_PROGRAMMING_SET_8_MATRIX_CHAIN_MULTIPLICATION,ORIGINAL,6,774588
DYNAMIC_PROGRAMMING_SET_8_MATRIX_CHAIN_MULTIPLICATION,ORIGINAL,7,-1041936
DYNAMIC_PROGRAMMING_SET_8_MATRIX_CHAIN_MULTIPLICATION,ORIGINAL,8,2147483647
DYNAMIC_PROGRAMMING_SET_8_MATRIX_CHAIN_MULTIPLICATION,ORIGINAL,9,1735425
