class,mutant,test_index,result
FIND_A_FIXED_POINT_IN_A_GIVEN_ARRAY_1,ORIGINAL,0,-1
FIND_A_FIXED_POINT_IN_A_GIVEN_ARRAY_1,ORIGINAL,1,3
FIND_A_FIXED_POINT_IN_A_GIVEN_ARRAY_1,ORIGINAL,2,0
FIND_A_FIXED_POINT_IN_A_GIVEN_ARRAY_1,ORIGINAL,3,-1
FIND_A_FIXED_POINT_IN_A_GIVEN_ARRAY_1,ORIGINAL,4,2
FIND_A_FIXED_POINT_IN_A_GIVEN_ARRAY_1,ORIGINAL,5,-1
FIND_A_FIXED_POINT_IN_A_GIVEN_ARRAY_1,ORIGINAL,6,-1
FIND_A_FIXED_POINT_IN_A_GIVEN_ARRAY_1,ORIGINAL,7,-1
FIND_A_FIXED_POINT_IN_A_GIVEN_ARRAY_1,ORIGINAL,8,-1
FIND_A_FIXED_POINT_IN_A_GIVEN_ARRAY_1,ORIGINAL,9,-1
