class,mutant,test_index,result
FIND_A_TRIPLET_THAT_SUM_TO_A_GIVEN_VALUE,ORIGINAL,0,false
FIND_A_TRIPLET_THAT_SUM_TO_A_GIVEN_VALUE,ORIGINAL,1,true
FIND_A_TRIPLET_THAT_SUM_TO_A_GIVEN_VALUE,ORIGINAL,2,false
FIND_A_TRIPLET_THAT_SUM_TO_A_GIVEN_VALUE,ORIGINAL,3,true
FIND_A_TRIPLET_THAT_SUM_TO_A_GIVEN_VALUE,ORIGINAL,4,false
FIND_A_TRIPLET_THAT_SUM_TO_A_GIVEN_VALUE,ORIGINAL,5,false
FIND_A_TRIPLET_THAT_SUM_TO_A_GIVEN_VALUE,ORIGINAL,6,false
FIND_A_TRIPLET_THAT_SUM_TO_A_GIVEN_VALUE,ORIGINAL,7,true
FIND_A_TRIPLET_THAT_SUM_TO_A_GIVEN_VALUE,ORIGINAL,8,false
FIND_A_TRIPLET_THAT_SUM_TO_A_GIVEN_VALUE,ORIGINAL,9,false
