class,mutant,test_index,result
FIND_LAST_DIGIT_FACTORIAL_DIVIDES_FACTORIAL_B,ORIGINAL,0,0
FIND_LAST_DIGIT_FACTORIAL_DIVIDES_FACTORIAL_B,ORIGINAL,1,1
FIND_LAST_DIGIT_FACTORIAL_DIVIDES_FACTORIAL_B,ORIGINAL,2,0
FIND_LAST_DIGIT_FACTORIAL_DIVIDES_FACTORIAL_B,ORIGINAL,3,0
FIND_LAST_DIGIT_FACTORIAL_DIVIDES_FACTORIAL_B,ORIGINAL,4,0
FIND_LAST_DIGIT_FACTORIAL_DIVIDES_FACTORIAL_B,ORIGINAL,5,1
FIND_LAST_DIGIT_FACTORIAL_DIVIDES_FACTORIAL_B,ORIGINAL,6,0
FIND_LAST_DIGIT_FACTORIAL_DIVIDES_FACTORIAL_B,ORIGINAL,7,1
FIND_LAST_DIGIT_FACTORIAL_DIVIDES_FACTORIAL_B,ORIGINAL,8,1
FIND_LAST_DIGIT_FACTORIAL_DIVIDES_FACTORIAL_B,ORIGINAL,9,1
