class,mutant,test_index,result
FIND_MAXIMUM_AVERAGE_SUBARRAY_OF_K_LENGTH,ORIGINAL,0,EXCEPTION
FIND_MAXIMUM_AVERAGE_SUBARRAY_OF_K_LENGTH,ORIGINAL,1,-1
FIND_MAXIMUM_AVERAGE_SUBARRAY_OF_K_LENGTH,ORIGINAL,2,EXCEPTION
FIND_MAXIMUM_AVERAGE_SUBARRAY_OF_K_LENGTH,ORIGINAL,3,EXCEPTION
FIND_MAXIMUM_AVERAGE_SUBARRAY_OF_K_LENGTH,ORIGINAL,4,EXCEPTION
FIND_MAXIMUM_AVERAGE_SUBARRAY_OF_K_LENGTH,ORIGINAL,5,EXCEPTION
FIND_MAXIMUM_AVERAGE_SUBARRAY_OF_K_LENGTH,ORIGINAL,6,-1
FIND_MAXIMUM_AVERAGE_SUBARRAY_OF_K_LENGTH,ORIGINAL,7,EXCEPTION
FIND_MAXIMUM_AVERAGE_SUBARRAY_OF_K_LENGTH,ORIGINAL,8,EXCEPTION
FIND_MAXIMUM_AVERAGE_SUBARRAY_OF_K_LENGTH,ORIGINAL,9,-1
