class,mutant,test_index,result
FIND_MAXIMUM_DOT_PRODUCT_TWO_ARRAYS_INSERTION_0S,ORIGINAL,0,EXCEPTION
FIND_MAXIMUM_DOT_PRODUCT_TWO_ARRAYS_INSERTION_0S,ORIGINAL,1,EXCEPTION
FIND_MAXIMUM_DOT_PRODUCT_TWO_ARRAYS_INSERTION_0S,ORIGINAL,2,EXCEPTION
FIND_MAXIMUM_DOT_PRODUCT_TWO_ARRAYS_INSERTION_0S,ORIGINAL,3,EXCEPTION
FIND_MAXIMUM_DOT_PRODUCT_TWO_ARRAYS_INSERTION_0S,ORIGINAL,4,EXCEPTION
FIND_MAXIMUM_DOT_PRODUCT_TWO_ARRAYS_INSERTION_0S,ORIGINAL,5,EXCEPTION
FIND_MAXIMUM_DOT_PRODUCT_TWO_ARRAYS_INSERTION_0S,ORIGINAL,6,EXCEPTION
FIND_MAXIMUM_DOT_PRODUCT_TWO_ARRAYS_INSERTION_0S,ORIGINAL,7,EXCEPTION
FIND_MAXIMUM_DOT_PRODUCT_TWO_ARRAYS_INSERTION_0S,ORIGINAL,8,EXCEPTION
FIND_MAXIMUM_DOT_PRODUCT_TWO_ARRAYS_INSERTION_0S,ORIGINAL,9,EXCEPTION
