class,mutant,test_index,result
FIND_NUMBER_PERFECT_SQUARES_TWO_GIVEN_NUMBERS,ORIGINAL,0,0
FIND_NUMBER_PERFECT_SQUARES_TWO_GIVEN_NUMBERS,ORIGINAL,1,8
FIND_NUMBER_PERFECT_SQUARES_TWO_GIVEN_NUMBERS,ORIGINAL,2,4
FIND_NUMBER_PERFECT_SQUARES_TWO_GIVEN_NUMBERS,ORIGINAL,3,0
FIND_NUMBER_PERFECT_SQUARES_TWO_GIVEN_NUMBERS,ORIGINAL,4,0
FIND_NUMBER_PERFECT_SQUARES_TWO_GIVEN_NUMBERS,ORIGINAL,5,3
FIND_NUMBER_PERFECT_SQUARES_TWO_GIVEN_NUMBERS,ORIGINAL,6,1
FIND_NUMBER_PERFECT_SQUARES_TWO_GIVEN_NUMBERS,ORIGINAL,7,1
FIND_NUMBER_PERFECT_SQUARES_TWO_GIVEN_NUMBERS,ORIGINAL,8,3
FIND_NUMBER_PERFECT_SQUARES_TWO_GIVEN_NUMBERS,ORIGINAL,9,0
