class,mutant,test_index,result
FIND_NUMBER_TIMES_STRING_OCCURS_GIVEN_STRING_1,ORIGINAL,0,0
FIND_NUMBER_TIMES_STRING_OCCURS_GIVEN_STRING_1,ORIGINAL,1,0
FIND_NUMBER_TIMES_STRING_OCCURS_GIVEN_STRING_1,ORIGINAL,2,6
FIND_NUMBER_TIMES_STRING_OCCURS_GIVEN_STRING_1,ORIGINAL,3,0
FIND_NUMBER_TIMES_STRING_OCCURS_GIVEN_STRING_1,ORIGINAL,4,2
FIND_NUMBER_TIMES_STRING_OCCURS_GIVEN_STRING_1,ORIGINAL,5,0
FIND_NUMBER_TIMES_STRING_OCCURS_GIVEN_STRING_1,ORIGINAL,6,1
FIND_NUMBER_TIMES_STRING_OCCURS_GIVEN_STRING_1,ORIGINAL,7,6
FIND_NUMBER_TIMES_STRING_OCCURS_GIVEN_STRING_1,ORIGINAL,8,35
FIND_NUMBER_TIMES_STRING_OCCURS_GIVEN_STRING_1,ORIGINAL,9,0
