class,mutant,test_index,result
FIND_POSITION_GIVEN_NUMBER_AMONG_NUMBERS_MADE_4_7,ORIGINAL,0,1
FIND_POSITION_GIVEN_NUMBER_AMONG_NUMBERS_MADE_4_7,ORIGINAL,1,511
FIND_POSITION_GIVEN_NUMBER_AMONG_NUMBERS_MADE_4_7,ORIGINAL,2,7
FIND_POSITION_GIVEN_NUMBER_AMONG_NUMBERS_MADE_4_7,ORIGINAL,3,1
FIND_POSITION_GIVEN_NUMBER_AMONG_NUMBERS_MADE_4_7,ORIGINAL,4,15
FIND_POSITION_GIVEN_NUMBER_AMONG_NUMBERS_MADE_4_7,ORIGINAL,5,3
FIND_POSITION_GIVEN_NUMBER_AMONG_NUMBERS_MADE_4_7,ORIGINAL,6,7
FIND_POSITION_GIVEN_NUMBER_AMONG_NUMBERS_MADE_4_7,ORIGINAL,7,7
FIND_POSITION_GIVEN_NUMBER_AMONG_NUMBERS_MADE_4_7,ORIGINAL,8,16383
FIND_POSITION_GIVEN_NUMBER_AMONG_NUMBERS_MADE_4_7,ORIGINAL,9,1023
