class,mutant,test_index,result
FIND_ROTATION_COUNT_ROTATED_SORTED_ARRAY,ORIGINAL,0,-1
FIND_ROTATION_COUNT_ROTATED_SORTED_ARRAY,ORIGINAL,1,11
FIND_ROTATION_COUNT_ROTATED_SORTED_ARRAY,ORIGINAL,2,-1
FIND_ROTATION_COUNT_ROTATED_SORTED_ARRAY,ORIGINAL,3,14
FIND_ROTATION_COUNT_ROTATED_SORTED_ARRAY,ORIGINAL,4,-1
FIND_ROTATION_COUNT_ROTATED_SORTED_ARRAY,ORIGINAL,5,-1
FIND_ROTATION_COUNT_ROTATED_SORTED_ARRAY,ORIGINAL,6,-1
FIND_ROTATION_COUNT_ROTATED_SORTED_ARRAY,ORIGINAL,7,-1
FIND_ROTATION_COUNT_ROTATED_SORTED_ARRAY,ORIGINAL,8,-1
FIND_ROTATION_COUNT_ROTATED_SORTED_ARRAY,ORIGINAL,9,8
