class,mutant,test_index,result
FIND_SUM_EVEN_INDEX_BINOMIAL_COEFFICIENTS_1,ORIGINAL,0,36028797018963968
FIND_SUM_EVEN_INDEX_BINOMIAL_COEFFICIENTS_1,ORIGINAL,1,134217728
FIND_SUM_EVEN_INDEX_BINOMIAL_COEFFICIENTS_1,ORIGINAL,2,8
FIND_SUM_EVEN_INDEX_BINOMIAL_COEFFICIENTS_1,ORIGINAL,3,8388608
FIND_SUM_EVEN_INDEX_BINOMIAL_COEFFICIENTS_1,ORIGINAL,4,2361183241434822606848
FIND_SUM_EVEN_INDEX_BINOMIAL_COEFFICIENTS_1,ORIGINAL,5,536870912
FIND_SUM_EVEN_INDEX_BINOMIAL_COEFFICIENTS_1,ORIGINAL,6,140737488355328
FIND_SUM_EVEN_INDEX_BINOMIAL_COEFFICIENTS_1,ORIGINAL,7,2147483648
FIND_SUM_EVEN_INDEX_BINOMIAL_COEFFICIENTS_1,ORIGINAL,8,4096
FIND_SUM_EVEN_INDEX_BINOMIAL_COEFFICIENTS_1,ORIGINAL,9,262144
