class,mutant,test_index,result
FIND_VALUE_OF_Y_MOD_2_RAISED_TO_POWER_X,ORIGINAL,0,EXCEPTION
FIND_VALUE_OF_Y_MOD_2_RAISED_TO_POWER_X,ORIGINAL,1,EXCEPTION
FIND_VALUE_OF_Y_MOD_2_RAISED_TO_POWER_X,ORIGINAL,2,EXCEPTION
FIND_VALUE_OF_Y_MOD_2_RAISED_TO_POWER_X,ORIGINAL,3,EXCEPTION
FIND_VALUE_OF_Y_MOD_2_RAISED_TO_POWER_X,ORIGINAL,4,EXCEPTION
FIND_VALUE_OF_Y_MOD_2_RAISED_TO_POWER_X,ORIGINAL,5,EXCEPTION
FIND_VALUE_OF_Y_MOD_2_RAISED_TO_POWER_X,ORIGINAL,6,EXCEPTION
FIND_VALUE_OF_Y_MOD_2_RAISED_TO_POWER_X,ORIGINAL,7,EXCEPTION
FIND_VALUE_OF_Y_MOD_2_RAISED_TO_POWER_X,ORIGINAL,8,EXCEPTION
FIND_VALUE_OF_Y_MOD_2_RAISED_TO_POWER_X,ORIGINAL,9,EXCEPTION
