class,mutant,test_index,result
FRIENDS_PAIRING_PROBLEM,ORIGINAL,0,2293787513721395580144886572049456639156084025485931929781630885397779219218432000
FRIENDS_PAIRING_PROBLEM,ORIGINAL,1,1890816383932031941325296356597295736721047552
FRIENDS_PAIRING_PROBLEM,ORIGINAL,2,1913739316913202783355790595270439314300178051408817240769643782602752
FRIENDS_PAIRING_PROBLEM,ORIGINAL,3,1913739316913202783355790595270439314300178051408817240769643782602752
FRIENDS_PAIRING_PROBLEM,ORIGINAL,4,226276446953982927846025591173802895436906496
FRIENDS_PAIRING_PROBLEM,ORIGINAL,5,18881235766605574525396279655084970878526300067324791627800030639816704
FRIENDS_PAIRING_PROBLEM,ORIGINAL,6,42173037345553914225478986054839828767802782862349697024
FRIENDS_PAIRING_PROBLEM,ORIGINAL,7,1890816383932031941325296356597295736721047552
FRIENDS_PAIRING_PROBLEM,ORIGINAL,8,219793534592041246196742895666452284583919553534682361162298301263785577859252224
FRIENDS_PAIRING_PROBLEM,ORIGINAL,9,50175735550281498556347163152384239583232
