class,mutant,test_index,result
K_TH_DIGIT_RAISED_POWER_B,ORIGINAL,0,EXCEPTION
K_TH_DIGIT_RAISED_POWER_B,ORIGINAL,1,EXCEPTION
K_TH_DIGIT_RAISED_POWER_B,ORIGINAL,2,EXCEPTION
K_TH_DIGIT_RAISED_POWER_B,ORIGINAL,3,EXCEPTION
K_TH_DIGIT_RAISED_POWER_B,ORIGINAL,4,EXCEPTION
K_TH_DIGIT_RAISED_POWER_B,ORIGINAL,5,EXCEPTION
K_TH_DIGIT_RAISED_POWER_B,ORIGINAL,6,EXCEPTION
K_TH_DIGIT_RAISED_POWER_B,ORIGINAL,7,EXCEPTION
K_TH_DIGIT_RAISED_POWER_B,ORIGINAL,8,EXCEPTION
K_TH_DIGIT_RAISED_POWER_B,ORIGINAL,9,EXCEPTION
