class,mutant,test_index,result
LCS_FORMED_CONSECUTIVE_SEGMENTS_LEAST_LENGTH_K,ORIGINAL,0,8
LCS_FORMED_CONSECUTIVE_SEGMENTS_LEAST_LENGTH_K,ORIGINAL,1,2
LCS_FORMED_CONSECUTIVE_SEGMENTS_LEAST_LENGTH_K,ORIGINAL,2,7
LCS_FORMED_CONSECUTIVE_SEGMENTS_LEAST_LENGTH_K,ORIGINAL,3,5
LCS_FORMED_CONSECUTIVE_SEGMENTS_LEAST_LENGTH_K,ORIGINAL,4,0
LCS_FORMED_CONSECUTIVE_SEGMENTS_LEAST_LENGTH_K,ORIGINAL,5,5
LCS_FORMED_CONSECUTIVE_SEGMENTS_LEAST_LENGTH_K,ORIGINAL,6,4
LCS_FORMED_CONSECUTIVE_SEGMENTS_LEAST_LENGTH_K,ORIGINAL,7,3
LCS_FORMED_CONSECUTIVE_SEGMENTS_LEAST_LENGTH_K,ORIGINAL,8,3
LCS_FORMED_CONSECUTIVE_SEGMENTS_LEAST_LENGTH_K,ORIGINAL,9,0
