class,mutant,test_index,result
LEXICOGRAPHICALLY_NEXT_STRING,ORIGINAL,0,amKIRzPiqLTIz
LEXICOGRAPHICALLY_NEXT_STRING,ORIGINAL,1,69
LEXICOGRAPHICALLY_NEXT_STRING,ORIGINAL,2,101
LEXICOGRAPHICALLY_NEXT_STRING,ORIGINAL,3,g
LEXICOGRAPHICALLY_NEXT_STRING,ORIGINAL,4,802205376
LEXICOGRAPHICALLY_NEXT_STRING,ORIGINAL,5,0112
LEXICOGRAPHICALLY_NEXT_STRING,ORIGINAL,6,GRjRYIvYwgub
LEXICOGRAPHICALLY_NEXT_STRING,ORIGINAL,7,813991000680:
LEXICOGRAPHICALLY_NEXT_STRING,ORIGINAL,8,100102
LEXICOGRAPHICALLY_NEXT_STRING,ORIGINAL,9,rx
