class,mutant,test_index,result
LONGEST_INCREASING_ODD_EVEN_SUBSEQUENCE,ORIGINAL,0,2
LONGEST_INCREASING_ODD_EVEN_SUBSEQUENCE,ORIGINAL,1,1
LONGEST_INCREASING_ODD_EVEN_SUBSEQUENCE,ORIGINAL,2,1
LONGEST_INCREASING_ODD_EVEN_SUBSEQUENCE,ORIGINAL,3,1
LONGEST_INCREASING_ODD_EVEN_SUBSEQUENCE,ORIGINAL,4,1
LONGEST_INCREASING_ODD_EVEN_SUBSEQUENCE,ORIGINAL,5,1
LONGEST_INCREASING_ODD_EVEN_SUBSEQUENCE,ORIGINAL,6,2
LONGEST_INCREASING_ODD_EVEN_SUBSEQUENCE,ORIGINAL,7,1
LONGEST_INCREASING_ODD_EVEN_SUBSEQUENCE,ORIGINAL,8,1
LONGEST_INCREASING_ODD_EVEN_SUBSEQUENCE,ORIGINAL,9,1
