class,mutant,test_index,result
LONGEST_PALINDROME_SUBSEQUENCE_SPACE,ORIGINAL,0,1
LONGEST_PALINDROME_SUBSEQUENCE_SPACE,ORIGINAL,1,EXCEPTION
LONGEST_PALINDROME_SUBSEQUENCE_SPACE,ORIGINAL,2,EXCEPTION
LONGEST_PALINDROME_SUBSEQUENCE_SPACE,ORIGINAL,3,EXCEPTION
LONGEST_PALINDROME_SUBSEQUENCE_SPACE,ORIGINAL,4,EXCEPTION
LONGEST_PALINDROME_SUBSEQUENCE_SPACE,ORIGINAL,5,EXCEPTION
LONGEST_PALINDROME_SUBSEQUENCE_SPACE,ORIGINAL,6,EXCEPTION
LONGEST_PALINDROME_SUBSEQUENCE_SPACE,ORIGINAL,7,EXCEPTION
LONGEST_PALINDROME_SUBSEQUENCE_SPACE,ORIGINAL,8,1
LONGEST_PALINDROME_SUBSEQUENCE_SPACE,ORIGINAL,9,EXCEPTION
