class,mutant,test_index,result
LONGEST_REPEATING_AND_NON_OVERLAPPING_SUBSTRING,ORIGINAL,0,EXCEPTION
LONGEST_REPEATING_AND_NON_OVERLAPPING_SUBSTRING,ORIGINAL,1,EXCEPTION
LONGEST_REPEATING_AND_NON_OVERLAPPING_SUBSTRING,ORIGINAL,2,EXCEPTION
LONGEST_REPEATING_AND_NON_OVERLAPPING_SUBSTRING,ORIGINAL,3,EXCEPTION
LONGEST_REPEATING_AND_NON_OVERLAPPING_SUBSTRING,ORIGINAL,4,EXCEPTION
LONGEST_REPEATING_AND_NON_OVERLAPPING_SUBSTRING,ORIGINAL,5,EXCEPTION
LONGEST_REPEATING_AND_NON_OVERLAPPING_SUBSTRING,ORIGINAL,6,EXCEPTION
LONGEST_REPEATING_AND_NON_OVERLAPPING_SUBSTRING,ORIGINAL,7,EXCEPTION
LONGEST_REPEATING_AND_NON_OVERLAPPING_SUBSTRING,ORIGINAL,8,EXCEPTION
LONGEST_REPEATING_AND_NON_OVERLAPPING_SUBSTRING,ORIGINAL,9,EXCEPTION
