class,mutant,test_index,result
MAXIMIZE_VOLUME_CUBOID_GIVEN_SUM_SIDES,ORIGINAL,0,11132
MAXIMIZE_VOLUME_CUBOID_GIVEN_SUM_SIDES,ORIGINAL,1,4096
MAXIMIZE_VOLUME_CUBOID_GIVEN_SUM_SIDES,ORIGINAL,2,7600
MAXIMIZE_VOLUME_CUBOID_GIVEN_SUM_SIDES,ORIGINAL,3,392
MAXIMIZE_VOLUME_CUBOID_GIVEN_SUM_SIDES,ORIGINAL,4,100
MAXIMIZE_VOLUME_CUBOID_GIVEN_SUM_SIDES,ORIGINAL,5,10648
MAXIMIZE_VOLUME_CUBOID_GIVEN_SUM_SIDES,ORIGINAL,6,0
MAXIMIZE_VOLUME_CUBOID_GIVEN_SUM_SIDES,ORIGINAL,7,15625
MAXIMIZE_VOLUME_CUBOID_GIVEN_SUM_SIDES,ORIGINAL,8,7220
MAXIMIZE_VOLUME_CUBOID_GIVEN_SUM_SIDES,ORIGINAL,9,17576
