class,mutant,test_index,result
MAXIMUM_AREA_RECTANGLE_PICKING_FOUR_SIDES_ARRAY_1,ORIGINAL,0,EXCEPTION
MAXIMUM_AREA_RECTANGLE_PICKING_FOUR_SIDES_ARRAY_1,ORIGINAL,1,EXCEPTION
MAXIMUM_AREA_RECTANGLE_PICKING_FOUR_SIDES_ARRAY_1,ORIGINAL,2,EXCEPTION
MAXIMUM_AREA_RECTANGLE_PICKING_FOUR_SIDES_ARRAY_1,ORIGINAL,3,EXCEPTION
MAXIMUM_AREA_RECTANGLE_PICKING_FOUR_SIDES_ARRAY_1,ORIGINAL,4,EXCEPTION
MAXIMUM_AREA_RECTANGLE_PICKING_FOUR_SIDES_ARRAY_1,ORIGINAL,5,EXCEPTION
MAXIMUM_AREA_RECTANGLE_PICKING_FOUR_SIDES_ARRAY_1,ORIGINAL,6,(0; 0)
MAXIMUM_AREA_RECTANGLE_PICKING_FOUR_SIDES_ARRAY_1,ORIGINAL,7,EXCEPTION
MAXIMUM_AREA_RECTANGLE_PICKING_FOUR_SIDES_ARRAY_1,ORIGINAL,8,EXCEPTION
MAXIMUM_AREA_RECTANGLE_PICKING_FOUR_SIDES_ARRAY_1,ORIGINAL,9,EXCEPTION
