class,mutant,test_index,result
MAXIMUM_CONSECUTIVE_REPEATING_CHARACTER_STRING_1,ORIGINAL,0,e
MAXIMUM_CONSECUTIVE_REPEATING_CHARACTER_STRING_1,ORIGINAL,1,3
MAXIMUM_CONSECUTIVE_REPEATING_CHARACTER_STRING_1,ORIGINAL,2,1
MAXIMUM_CONSECUTIVE_REPEATING_CHARACTER_STRING_1,ORIGINAL,3,a
MAXIMUM_CONSECUTIVE_REPEATING_CHARACTER_STRING_1,ORIGINAL,4,1
MAXIMUM_CONSECUTIVE_REPEATING_CHARACTER_STRING_1,ORIGINAL,5,1
MAXIMUM_CONSECUTIVE_REPEATING_CHARACTER_STRING_1,ORIGINAL,6,W
MAXIMUM_CONSECUTIVE_REPEATING_CHARACTER_STRING_1,ORIGINAL,7,1
MAXIMUM_CONSECUTIVE_REPEATING_CHARACTER_STRING_1,ORIGINAL,8,1
MAXIMUM_CONSECUTIVE_REPEATING_CHARACTER_STRING_1,ORIGINAL,9,a
