class,mutant,test_index,result
MAXIMUM_POINTS_INTERSECTION_N_CIRCLES,ORIGINAL,0,870
MAXIMUM_POINTS_INTERSECTION_N_CIRCLES,ORIGINAL,1,600
MAXIMUM_POINTS_INTERSECTION_N_CIRCLES,ORIGINAL,2,4692
MAXIMUM_POINTS_INTERSECTION_N_CIRCLES,ORIGINAL,3,1482
MAXIMUM_POINTS_INTERSECTION_N_CIRCLES,ORIGINAL,4,182
MAXIMUM_POINTS_INTERSECTION_N_CIRCLES,ORIGINAL,5,3540
MAXIMUM_POINTS_INTERSECTION_N_CIRCLES,ORIGINAL,6,7832
MAXIMUM_POINTS_INTERSECTION_N_CIRCLES,ORIGINAL,7,702
MAXIMUM_POINTS_INTERSECTION_N_CIRCLES,ORIGINAL,8,812
MAXIMUM_POINTS_INTERSECTION_N_CIRCLES,ORIGINAL,9,812
