class,mutant,test_index,result
MAXIMUM_PRODUCT_OF_4_ADJACENT_ELEMENTS_IN_MATRIX,ORIGINAL,0,85791650
MAXIMUM_PRODUCT_OF_4_ADJACENT_ELEMENTS_IN_MATRIX,ORIGINAL,1,32184672
MAXIMUM_PRODUCT_OF_4_ADJACENT_ELEMENTS_IN_MATRIX,ORIGINAL,2,1
MAXIMUM_PRODUCT_OF_4_ADJACENT_ELEMENTS_IN_MATRIX,ORIGINAL,3,37003392
MAXIMUM_PRODUCT_OF_4_ADJACENT_ELEMENTS_IN_MATRIX,ORIGINAL,4,81397232
MAXIMUM_PRODUCT_OF_4_ADJACENT_ELEMENTS_IN_MATRIX,ORIGINAL,5,1
MAXIMUM_PRODUCT_OF_4_ADJACENT_ELEMENTS_IN_MATRIX,ORIGINAL,6,49595568
MAXIMUM_PRODUCT_OF_4_ADJACENT_ELEMENTS_IN_MATRIX,ORIGINAL,7,26455296
MAXIMUM_PRODUCT_OF_4_ADJACENT_ELEMENTS_IN_MATRIX,ORIGINAL,8,1
MAXIMUM_PRODUCT_OF_4_ADJACENT_ELEMENTS_IN_MATRIX,ORIGINAL,9,56796795
