class,mutant,test_index,result
MAXIMUM_SUM_BITONIC_SUBARRAY,ORIGINAL,0,EXCEPTION
MAXIMUM_SUM_BITONIC_SUBARRAY,ORIGINAL,1,EXCEPTION
MAXIMUM_SUM_BITONIC_SUBARRAY,ORIGINAL,2,EXCEPTION
MAXIMUM_SUM_BITONIC_SUBARRAY,ORIGINAL,3,EXCEPTION
MAXIMUM_SUM_BITONIC_SUBARRAY,ORIGINAL,4,EXCEPTION
MAXIMUM_SUM_BITONIC_SUBARRAY,ORIGINAL,5,EXCEPTION
MAXIMUM_SUM_BITONIC_SUBARRAY,ORIGINAL,6,EXCEPTION
MAXIMUM_SUM_BITONIC_SUBARRAY,ORIGINAL,7,EXCEPTION
MAXIMUM_SUM_BITONIC_SUBARRAY,ORIGINAL,8,EXCEPTION
MAXIMUM_SUM_BITONIC_SUBARRAY,ORIGINAL,9,EXCEPTION
