class,mutant,test_index,result
MAXIMUM_SUM_PAIRS_SPECIFIC_DIFFERENCE,ORIGINAL,0,156
MAXIMUM_SUM_PAIRS_SPECIFIC_DIFFERENCE,ORIGINAL,1,62
MAXIMUM_SUM_PAIRS_SPECIFIC_DIFFERENCE,ORIGINAL,2,10
MAXIMUM_SUM_PAIRS_SPECIFIC_DIFFERENCE,ORIGINAL,3,1083
MAXIMUM_SUM_PAIRS_SPECIFIC_DIFFERENCE,ORIGINAL,4,0
MAXIMUM_SUM_PAIRS_SPECIFIC_DIFFERENCE,ORIGINAL,5,5
MAXIMUM_SUM_PAIRS_SPECIFIC_DIFFERENCE,ORIGINAL,6,849
MAXIMUM_SUM_PAIRS_SPECIFIC_DIFFERENCE,ORIGINAL,7,0
MAXIMUM_SUM_PAIRS_SPECIFIC_DIFFERENCE,ORIGINAL,8,9
MAXIMUM_SUM_PAIRS_SPECIFIC_DIFFERENCE,ORIGINAL,9,0
