class,mutant,test_index,result
MAXIMUM_SUM_SUBSEQUENCE_LEAST_K_DISTANT_ELEMENTS,ORIGINAL,0,EXCEPTION
MAXIMUM_SUM_SUBSEQUENCE_LEAST_K_DISTANT_ELEMENTS,ORIGINAL,1,EXCEPTION
MAXIMUM_SUM_SUBSEQUENCE_LEAST_K_DISTANT_ELEMENTS,ORIGINAL,2,EXCEPTION
MAXIMUM_SUM_SUBSEQUENCE_LEAST_K_DISTANT_ELEMENTS,ORIGINAL,3,EXCEPTION
MAXIMUM_SUM_SUBSEQUENCE_LEAST_K_DISTANT_ELEMENTS,ORIGINAL,4,EXCEPTION
MAXIMUM_SUM_SUBSEQUENCE_LEAST_K_DISTANT_ELEMENTS,ORIGINAL,5,EXCEPTION
MAXIMUM_SUM_SUBSEQUENCE_LEAST_K_DISTANT_ELEMENTS,ORIGINAL,6,EXCEPTION
MAXIMUM_SUM_SUBSEQUENCE_LEAST_K_DISTANT_ELEMENTS,ORIGINAL,7,EXCEPTION
MAXIMUM_SUM_SUBSEQUENCE_LEAST_K_DISTANT_ELEMENTS,ORIGINAL,8,EXCEPTION
MAXIMUM_SUM_SUBSEQUENCE_LEAST_K_DISTANT_ELEMENTS,ORIGINAL,9,EXCEPTION
