class,mutant,test_index,result
MIDDLE_OF_THREE_USING_MINIMUM_COMPARISONS,ORIGINAL,0,56
MIDDLE_OF_THREE_USING_MINIMUM_COMPARISONS,ORIGINAL,1,56
MIDDLE_OF_THREE_USING_MINIMUM_COMPARISONS,ORIGINAL,2,51
MIDDLE_OF_THREE_USING_MINIMUM_COMPARISONS,ORIGINAL,3,54
MIDDLE_OF_THREE_USING_MINIMUM_COMPARISONS,ORIGINAL,4,70
MIDDLE_OF_THREE_USING_MINIMUM_COMPARISONS,ORIGINAL,5,57
MIDDLE_OF_THREE_USING_MINIMUM_COMPARISONS,ORIGINAL,6,80
MIDDLE_OF_THREE_USING_MINIMUM_COMPARISONS,ORIGINAL,7,54
MIDDLE_OF_THREE_USING_MINIMUM_COMPARISONS,ORIGINAL,8,70
MIDDLE_OF_THREE_USING_MINIMUM_COMPARISONS,ORIGINAL,9,5
