class,mutant,test_index,result
MINIMUM_INCREMENT_K_OPERATIONS_MAKE_ELEMENTS_EQUAL,ORIGINAL,0,EXCEPTION
MINIMUM_INCREMENT_K_OPERATIONS_MAKE_ELEMENTS_EQUAL,ORIGINAL,1,EXCEPTION
MINIMUM_INCREMENT_K_OPERATIONS_MAKE_ELEMENTS_EQUAL,ORIGINAL,2,EXCEPTION
MINIMUM_INCREMENT_K_OPERATIONS_MAKE_ELEMENTS_EQUAL,ORIGINAL,3,EXCEPTION
MINIMUM_INCREMENT_K_OPERATIONS_MAKE_ELEMENTS_EQUAL,ORIGINAL,4,EXCEPTION
MINIMUM_INCREMENT_K_OPERATIONS_MAKE_ELEMENTS_EQUAL,ORIGINAL,5,EXCEPTION
MINIMUM_INCREMENT_K_OPERATIONS_MAKE_ELEMENTS_EQUAL,ORIGINAL,6,EXCEPTION
MINIMUM_INCREMENT_K_OPERATIONS_MAKE_ELEMENTS_EQUAL,ORIGINAL,7,EXCEPTION
MINIMUM_INCREMENT_K_OPERATIONS_MAKE_ELEMENTS_EQUAL,ORIGINAL,8,EXCEPTION
MINIMUM_INCREMENT_K_OPERATIONS_MAKE_ELEMENTS_EQUAL,ORIGINAL,9,EXCEPTION
