class,mutant,test_index,result
MINIMUM_NUMBER_SUBSETS_DISTINCT_ELEMENTS_1,ORIGINAL,0,3
MINIMUM_NUMBER_SUBSETS_DISTINCT_ELEMENTS_1,ORIGINAL,1,2
MINIMUM_NUMBER_SUBSETS_DISTINCT_ELEMENTS_1,ORIGINAL,2,25
MINIMUM_NUMBER_SUBSETS_DISTINCT_ELEMENTS_1,ORIGINAL,3,2
MINIMUM_NUMBER_SUBSETS_DISTINCT_ELEMENTS_1,ORIGINAL,4,1
MINIMUM_NUMBER_SUBSETS_DISTINCT_ELEMENTS_1,ORIGINAL,5,8
MINIMUM_NUMBER_SUBSETS_DISTINCT_ELEMENTS_1,ORIGINAL,6,2
MINIMUM_NUMBER_SUBSETS_DISTINCT_ELEMENTS_1,ORIGINAL,7,1
MINIMUM_NUMBER_SUBSETS_DISTINCT_ELEMENTS_1,ORIGINAL,8,20
MINIMUM_NUMBER_SUBSETS_DISTINCT_ELEMENTS_1,ORIGINAL,9,1
