class,mutant,test_index,result
MINIMUM_NUMBER_SUBSETS_DISTINCT_ELEMENTS,ORIGINAL,0,25
MINIMUM_NUMBER_SUBSETS_DISTINCT_ELEMENTS,ORIGINAL,1,35
MINIMUM_NUMBER_SUBSETS_DISTINCT_ELEMENTS,ORIGINAL,2,34
MINIMUM_NUMBER_SUBSETS_DISTINCT_ELEMENTS,ORIGINAL,3,6
MINIMUM_NUMBER_SUBSETS_DISTINCT_ELEMENTS,ORIGINAL,4,12
MINIMUM_NUMBER_SUBSETS_DISTINCT_ELEMENTS,ORIGINAL,5,29
MINIMUM_NUMBER_SUBSETS_DISTINCT_ELEMENTS,ORIGINAL,6,1
MINIMUM_NUMBER_SUBSETS_DISTINCT_ELEMENTS,ORIGINAL,7,34
MINIMUM_NUMBER_SUBSETS_DISTINCT_ELEMENTS,ORIGINAL,8,3
MINIMUM_NUMBER_SUBSETS_DISTINCT_ELEMENTS,ORIGINAL,9,7
