class,mutant,test_index,result
MOBILE_NUMERIC_KEYPAD_PROBLEM,ORIGINAL,0,EXCEPTION
MOBILE_NUMERIC_KEYPAD_PROBLEM,ORIGINAL,1,EXCEPTION
MOBILE_NUMERIC_KEYPAD_PROBLEM,ORIGINAL,2,EXCEPTION
MOBILE_NUMERIC_KEYPAD_PROBLEM,ORIGINAL,3,EXCEPTION
MOBILE_NUMERIC_KEYPAD_PROBLEM,ORIGINAL,4,EXCEPTION
MOBILE_NUMERIC_KEYPAD_PROBLEM,ORIGINAL,5,EXCEPTION
MOBILE_NUMERIC_KEYPAD_PROBLEM,ORIGINAL,6,EXCEPTION
MOBILE_NUMERIC_KEYPAD_PROBLEM,ORIGINAL,7,EXCEPTION
MOBILE_NUMERIC_KEYPAD_PROBLEM,ORIGINAL,8,EXCEPTION
MOBILE_NUMERIC_KEYPAD_PROBLEM,ORIGINAL,9,EXCEPTION
