class,mutant,test_index,result
NEXT_HIGHER_NUMBER_WITH_SAME_NUMBER_OF_SET_BITS,ORIGINAL,0,44
NEXT_HIGHER_NUMBER_WITH_SAME_NUMBER_OF_SET_BITS,ORIGINAL,1,77
NEXT_HIGHER_NUMBER_WITH_SAME_NUMBER_OF_SET_BITS,ORIGINAL,2,103
NEXT_HIGHER_NUMBER_WITH_SAME_NUMBER_OF_SET_BITS,ORIGINAL,3,6
NEXT_HIGHER_NUMBER_WITH_SAME_NUMBER_OF_SET_BITS,ORIGINAL,4,56
NEXT_HIGHER_NUMBER_WITH_SAME_NUMBER_OF_SET_BITS,ORIGINAL,5,25
NEXT_HIGHER_NUMBER_WITH_SAME_NUMBER_OF_SET_BITS,ORIGINAL,6,78
NEXT_HIGHER_NUMBER_WITH_SAME_NUMBER_OF_SET_BITS,ORIGINAL,7,49
NEXT_HIGHER_NUMBER_WITH_SAME_NUMBER_OF_SET_BITS,ORIGINAL,8,86
NEXT_HIGHER_NUMBER_WITH_SAME_NUMBER_OF_SET_BITS,ORIGINAL,9,61
