class,mutant,test_index,result
NTH_MULTIPLE_NUMBER_FIBONACCI_SERIES,ORIGINAL,0,EXCEPTION
NTH_MULTIPLE_NUMBER_FIBONACCI_SERIES,ORIGINAL,1,EXCEPTION
NTH_MULTIPLE_NUMBER_FIBONACCI_SERIES,ORIGINAL,2,EXCEPTION
NTH_MULTIPLE_NUMBER_FIBONACCI_SERIES,ORIGINAL,3,EXCEPTION
NTH_MULTIPLE_NUMBER_FIBONACCI_SERIES,ORIGINAL,4,EXCEPTION
NTH_MULTIPLE_NUMBER_FIBONACCI_SERIES,ORIGINAL,5,EXCEPTION
NTH_MULTIPLE_NUMBER_FIBONACCI_SERIES,ORIGINAL,6,EXCEPTION
NTH_MULTIPLE_NUMBER_FIBONACCI_SERIES,ORIGINAL,7,EXCEPTION
NTH_MULTIPLE_NUMBER_FIBONACCI_SERIES,ORIGINAL,8,EXCEPTION
NTH_MULTIPLE_NUMBER_FIBONACCI_SERIES,ORIGINAL,9,EXCEPTION
