class,mutant,test_index,result
N_TH_NUMBER_WHOSE_SUM_OF_DIGITS_IS_TEN_2,ORIGINAL,0,631
N_TH_NUMBER_WHOSE_SUM_OF_DIGITS_IS_TEN_2,ORIGINAL,1,649
N_TH_NUMBER_WHOSE_SUM_OF_DIGITS_IS_TEN_2,ORIGINAL,2,640
N_TH_NUMBER_WHOSE_SUM_OF_DIGITS_IS_TEN_2,ORIGINAL,3,856
N_TH_NUMBER_WHOSE_SUM_OF_DIGITS_IS_TEN_2,ORIGINAL,4,910
N_TH_NUMBER_WHOSE_SUM_OF_DIGITS_IS_TEN_2,ORIGINAL,5,415
N_TH_NUMBER_WHOSE_SUM_OF_DIGITS_IS_TEN_2,ORIGINAL,6,838
N_TH_NUMBER_WHOSE_SUM_OF_DIGITS_IS_TEN_2,ORIGINAL,7,82
N_TH_NUMBER_WHOSE_SUM_OF_DIGITS_IS_TEN_2,ORIGINAL,8,766
N_TH_NUMBER_WHOSE_SUM_OF_DIGITS_IS_TEN_2,ORIGINAL,9,478
