class,mutant,test_index,result
N_TH_NUMBER_WHOSE_SUM_OF_DIGITS_IS_TEN,ORIGINAL,0,<class '__main__.f_gold.<locals>.N_TH_NUMBER_WHOSE_SUM_OF_DIGITS_IS_TEN'>
N_TH_NUMBER_WHOSE_SUM_OF_DIGITS_IS_TEN,ORIGINAL,1,<class '__main__.f_gold.<locals>.N_TH_NUMBER_WHOSE_SUM_OF_DIGITS_IS_TEN'>
N_TH_NUMBER_WHOSE_SUM_OF_DIGITS_IS_TEN,ORIGINAL,2,<class '__main__.f_gold.<locals>.N_TH_NUMBER_WHOSE_SUM_OF_DIGITS_IS_TEN'>
N_TH_NUMBER_WHOSE_SUM_OF_DIGITS_IS_TEN,ORIGINAL,3,<class '__main__.f_gold.<locals>.N_TH_NUMBER_WHOSE_SUM_OF_DIGITS_IS_TEN'>
N_TH_NUMBER_WHOSE_SUM_OF_DIGITS_IS_TEN,ORIGINAL,4,<class '__main__.f_gold.<locals>.N_TH_NUMBER_WHOSE_SUM_OF_DIGITS_IS_TEN'>
N_TH_NUMBER_WHOSE_SUM_OF_DIGITS_IS_TEN,ORIGINAL,5,<class '__main__.f_gold.<locals>.N_TH_NUMBER_WHOSE_SUM_OF_DIGITS_IS_TEN'>
N_TH_NUMBER_WHOSE_SUM_OF_DIGITS_IS_TEN,ORIGINAL,6,<class '__main__.f_gold.<locals>.N_TH_NUMBER_WHOSE_SUM_OF_DIGITS_IS_TEN'>
N_TH_NUMBER_WHOSE_SUM_OF_DIGITS_IS_TEN,ORIGINAL,7,<class '__main__.f_gold.<locals>.N_TH_NUMBER_WHOSE_SUM_OF_DIGITS_IS_TEN'>
N_TH_NUMBER_WHOSE_SUM_OF_DIGITS_IS_TEN,ORIGINAL,8,<class '__main__.f_gold.<locals>.N_TH_NUMBER_WHOSE_SUM_OF_DIGITS_IS_TEN'>
N_TH_NUMBER_WHOSE_SUM_OF_DIGITS_IS_TEN,ORIGINAL,9,<class '__main__.f_gold.<locals>.N_TH_NUMBER_WHOSE_SUM_OF_DIGITS_IS_TEN'>
