class,mutant,test_index,result
POSITION_OF_RIGHTMOST_SET_BIT,ORIGINAL,0,EXCEPTION
POSITION_OF_RIGHTMOST_SET_BIT,ORIGINAL,1,EXCEPTION
POSITION_OF_RIGHTMOST_SET_BIT,ORIGINAL,2,EXCEPTION
POSITION_OF_RIGHTMOST_SET_BIT,ORIGINAL,3,EXCEPTION
POSITION_OF_RIGHTMOST_SET_BIT,ORIGINAL,4,EXCEPTION
POSITION_OF_RIGHTMOST_SET_BIT,ORIGINAL,5,EXCEPTION
POSITION_OF_RIGHTMOST_SET_BIT,ORIGINAL,6,EXCEPTION
POSITION_OF_RIGHTMOST_SET_BIT,ORIGINAL,7,EXCEPTION
POSITION_OF_RIGHTMOST_SET_BIT,ORIGINAL,8,EXCEPTION
POSITION_OF_RIGHTMOST_SET_BIT,ORIGINAL,9,EXCEPTION
