class,mutant,test_index,result
PROBABILITY_THREE_RANDOMLY_CHOSEN_NUMBERS_AP,ORIGINAL,0,<class '__main__.f_gold.<locals>.PROBABILITY_THREE_RANDOMLY_CHOSEN_NUMBERS_AP'>
PROBABILITY_THREE_RANDOMLY_CHOSEN_NUMBERS_AP,ORIGINAL,1,<class '__main__.f_gold.<locals>.PROBABILITY_THREE_RANDOMLY_CHOSEN_NUMBERS_AP'>
PROBABILITY_THREE_RANDOMLY_CHOSEN_NUMBERS_AP,ORIGINAL,2,<class '__main__.f_gold.<locals>.PROBABILITY_THREE_RANDOMLY_CHOSEN_NUMBERS_AP'>
PROBABILITY_THREE_RANDOMLY_CHOSEN_NUMBERS_AP,ORIGINAL,3,<class '__main__.f_gold.<locals>.PROBABILITY_THREE_RANDOMLY_CHOSEN_NUMBERS_AP'>
PROBABILITY_THREE_RANDOMLY_CHOSEN_NUMBERS_AP,ORIGINAL,4,<class '__main__.f_gold.<locals>.PROBABILITY_THREE_RANDOMLY_CHOSEN_NUMBERS_AP'>
PROBABILITY_THREE_RANDOMLY_CHOSEN_NUMBERS_AP,ORIGINAL,5,<class '__main__.f_gold.<locals>.PROBABILITY_THREE_RANDOMLY_CHOSEN_NUMBERS_AP'>
PROBABILITY_THREE_RANDOMLY_CHOSEN_NUMBERS_AP,ORIGINAL,6,<class '__main__.f_gold.<locals>.PROBABILITY_THREE_RANDOMLY_CHOSEN_NUMBERS_AP'>
PROBABILITY_THREE_RANDOMLY_CHOSEN_NUMBERS_AP,ORIGINAL,7,<class '__main__.f_gold.<locals>.PROBABILITY_THREE_RANDOMLY_CHOSEN_NUMBERS_AP'>
PROBABILITY_THREE_RANDOMLY_CHOSEN_NUMBERS_AP,ORIGINAL,8,<class '__main__.f_gold.<locals>.PROBABILITY_THREE_RANDOMLY_CHOSEN_NUMBERS_AP'>
PROBABILITY_THREE_RANDOMLY_CHOSEN_NUMBERS_AP,ORIGINAL,9,<class '__main__.f_gold.<locals>.PROBABILITY_THREE_RANDOMLY_CHOSEN_NUMBERS_AP'>
