class,mutant,test_index,result
PRODUCT_MAXIMUM_FIRST_ARRAY_MINIMUM_SECOND,ORIGINAL,0,204
PRODUCT_MAXIMUM_FIRST_ARRAY_MINIMUM_SECOND,ORIGINAL,1,-1764
PRODUCT_MAXIMUM_FIRST_ARRAY_MINIMUM_SECOND,ORIGINAL,2,0
PRODUCT_MAXIMUM_FIRST_ARRAY_MINIMUM_SECOND,ORIGINAL,3,144
PRODUCT_MAXIMUM_FIRST_ARRAY_MINIMUM_SECOND,ORIGINAL,4,-2112
PRODUCT_MAXIMUM_FIRST_ARRAY_MINIMUM_SECOND,ORIGINAL,5,0
PRODUCT_MAXIMUM_FIRST_ARRAY_MINIMUM_SECOND,ORIGINAL,6,180
PRODUCT_MAXIMUM_FIRST_ARRAY_MINIMUM_SECOND,ORIGINAL,7,588
PRODUCT_MAXIMUM_FIRST_ARRAY_MINIMUM_SECOND,ORIGINAL,8,0
PRODUCT_MAXIMUM_FIRST_ARRAY_MINIMUM_SECOND,ORIGINAL,9,76
