class,mutant,test_index,result
REARRANGE_ARRAY_MAXIMUM_MINIMUM_FORM_SET_2_O1_EXTRA_SPACE_1,ORIGINAL,0,[99; 3; 98; 4; 97; 5; 96; 6; 95; 7; 94; 8; 93; 9; 92; 10; 91; 11; 90; 12; 89; 13; 88; 14; 87; 15; 86; 16; 85; 17; 84; 18; 83; 19; 82; 20; 81; 21; 80; 22; 75; 80; 82; 86; 92; 95; 96; 99];40
REARRANGE_ARRAY_MAXIMUM_MINIMUM_FORM_SET_2_O1_EXTRA_SPACE_1,ORIGINAL,1,[-52; 45; -53; 46; -54; 47; -55; 48; -56; 49; -57; 50; -58; 51; -59; 52; -60; 53; -61; 54; -62; 55; -63; -52; -9; 80; -16; -32; 39; 25; -27; -96; -24; -27; -23; -52];23
REARRANGE_ARRAY_MAXIMUM_MINIMUM_FORM_SET_2_O1_EXTRA_SPACE_1,ORIGINAL,2,[1; 0; 0; 1; -1; 2; -2; 3; -3; 4; -4; 5; -5; 6; -6; 7; -7; 8; -8; 9; -9; 10; -10; 11; -11; 12; -12; 13; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1];28
REARRANGE_ARRAY_MAXIMUM_MINIMUM_FORM_SET_2_O1_EXTRA_SPACE_1,ORIGINAL,3,[16; 12; 16];2
REARRANGE_ARRAY_MAXIMUM_MINIMUM_FORM_SET_2_O1_EXTRA_SPACE_1,ORIGINAL,4,[90; -85; 89; -84; 88; -83; 87; -82; 86; -81; 85; -80; 84; 77; 87; 90];13
REARRANGE_ARRAY_MAXIMUM_MINIMUM_FORM_SET_2_O1_EXTRA_SPACE_1,ORIGINAL,5,[0; 0; -1; 1; -2; 2; -3; 3; -4; 4; -5; 5; 0; 0; 0];12
REARRANGE_ARRAY_MAXIMUM_MINIMUM_FORM_SET_2_O1_EXTRA_SPACE_1,ORIGINAL,6,[98; 5; 97; 6; 96; 7; 95; 8; 94; 9; 93; 10; 55; 57; 57; 61; 61; 66; 72; 73; 83; 87; 88; 89; 98];12
REARRANGE_ARRAY_MAXIMUM_MINIMUM_FORM_SET_2_O1_EXTRA_SPACE_1,ORIGINAL,7,[-85; 31; -86; 32; -87; 33; -88; 34; -89; 35; -90; 36; -91; -73; 13; 33; -29; -17; -43; 20; -7; -85];13
REARRANGE_ARRAY_MAXIMUM_MINIMUM_FORM_SET_2_O1_EXTRA_SPACE_1,ORIGINAL,8,[1; 0; 0; 1; -1; 2; -2; 3; -3; 4; -4; 5; -5; 6; -6; 7; -7; 8; -8; 9; -9; 10; -10; 11; -11; 12; -12; 13; -13; 14; -14; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1];31
REARRANGE_ARRAY_MAXIMUM_MINIMUM_FORM_SET_2_O1_EXTRA_SPACE_1,ORIGINAL,9,[12; 20; 11; 21; 10; 22; 9; 23; 8; 12];9
