class,mutant,test_index,result
RECURSIVELY_BREAK_NUMBER_3_PARTS_GET_MAXIMUM_SUM_1,ORIGINAL,0,57
RECURSIVELY_BREAK_NUMBER_3_PARTS_GET_MAXIMUM_SUM_1,ORIGINAL,1,93
RECURSIVELY_BREAK_NUMBER_3_PARTS_GET_MAXIMUM_SUM_1,ORIGINAL,2,19
RECURSIVELY_BREAK_NUMBER_3_PARTS_GET_MAXIMUM_SUM_1,ORIGINAL,3,27
RECURSIVELY_BREAK_NUMBER_3_PARTS_GET_MAXIMUM_SUM_1,ORIGINAL,4,32
RECURSIVELY_BREAK_NUMBER_3_PARTS_GET_MAXIMUM_SUM_1,ORIGINAL,5,41
RECURSIVELY_BREAK_NUMBER_3_PARTS_GET_MAXIMUM_SUM_1,ORIGINAL,6,104
RECURSIVELY_BREAK_NUMBER_3_PARTS_GET_MAXIMUM_SUM_1,ORIGINAL,7,27
RECURSIVELY_BREAK_NUMBER_3_PARTS_GET_MAXIMUM_SUM_1,ORIGINAL,8,13
RECURSIVELY_BREAK_NUMBER_3_PARTS_GET_MAXIMUM_SUM_1,ORIGINAL,9,57
