class,mutant,test_index,result
RECURSIVELY_BREAK_NUMBER_3_PARTS_GET_MAXIMUM_SUM_1,ORIGINAL,0,EXCEPTION
RECURSIVELY_BREAK_NUMBER_3_PARTS_GET_MAXIMUM_SUM_1,ORIGINAL,1,EXCEPTION
RECURSIVELY_BREAK_NUMBER_3_PARTS_GET_MAXIMUM_SUM_1,ORIGINAL,2,EXCEPTION
RECURSIVELY_BREAK_NUMBER_3_PARTS_GET_MAXIMUM_SUM_1,ORIGINAL,3,EXCEPTION
RECURSIVELY_BREAK_NUMBER_3_PARTS_GET_MAXIMUM_SUM_1,ORIGINAL,4,EXCEPTION
RECURSIVELY_BREAK_NUMBER_3_PARTS_GET_MAXIMUM_SUM_1,ORIGINAL,5,EXCEPTION
RECURSIVELY_BREAK_NUMBER_3_PARTS_GET_MAXIMUM_SUM_1,ORIGINAL,6,EXCEPTION
RECURSIVELY_BREAK_NUMBER_3_PARTS_GET_MAXIMUM_SUM_1,ORIGINAL,7,EXCEPTION
RECURSIVELY_BREAK_NUMBER_3_PARTS_GET_MAXIMUM_SUM_1,ORIGINAL,8,EXCEPTION
RECURSIVELY_BREAK_NUMBER_3_PARTS_GET_MAXIMUM_SUM_1,ORIGINAL,9,EXCEPTION
